snapped_at,price,market_cap,total_volume
2016-05-29T00:00:00.000Z,0.007833586779102742,273146826.43829453,1457777.2023315746
2016-05-30T00:00:00.000Z,0.008009560374299915,279282793.3230005,668724.5153242834
2016-05-31T00:00:00.000Z,0.007886963058446729,275007986.8136142,1164009.2976185859
2016-06-01T00:00:00.000Z,0.00801284806034483,279397430.59387225,1407006.470079827
2016-06-02T00:00:00.000Z,0.007983504931778365,278374274.449476,850032.1629572856
2016-06-03T00:00:00.000Z,0.007899120774356309,275431910.3126554,595614.87565018
2016-06-04T00:00:00.000Z,0.007850336338718731,273730861.4636741,827297.5750044462
2016-06-05T00:00:00.000Z,0.007880587559075678,274785681.5696348,749006.610312024
2016-06-06T00:00:00.000Z,0.007829104955953905,272990551.18351233,941099.4000997785
2016-06-07T00:00:00.000Z,0.007748208291387289,270169791.31719404,1048440.166018774
2016-06-08T00:00:00.000Z,0.007703576376915953,268613535.39771765,1007855.8661701471
2016-06-09T00:00:00.000Z,0.007784731245639336,271443298.502014,685964.5234134974
2016-06-10T00:00:00.000Z,0.007777806183068123,271201830.7149641,739215.4368126831
2016-06-11T00:00:00.000Z,0.007791929341067838,271694286.58424735,508158.0632102273
2016-06-12T00:00:00.000Z,0.007925247577958216,276342917.4528169,1584086.6603930886
2016-06-13T00:00:00.000Z,0.007896964378492886,275356719.6365005,2123296.127978895
2016-06-14T00:00:00.000Z,0.009505295675087032,331437108.0861446,13292000.31981789
2016-06-15T00:00:00.000Z,0.009281930089855128,323648645.09185135,4541236.2525983555
2016-06-16T00:00:00.000Z,0.009049793001490601,317723091.7342991,4157897.4728171052
2016-06-17T00:00:00.000Z,0.009029336899918467,317004912.23171175,2926178.5023504873
2016-06-18T00:00:00.000Z,0.00894349307612823,313991079.19747156,1603663.6246891525
2016-06-19T00:00:00.000Z,0.009186902769728524,322536786.30878836,3221858.662368496
2016-06-20T00:00:00.000Z,0.008900285594114212,312474136.79124326,2301355.727573071
2016-06-21T00:00:00.000Z,0.008297528039062651,291312327.463047,4370330.951377705
2016-06-22T00:00:00.000Z,0.008643540773954838,303460255.69646394,6692368.807089095
2016-06-23T00:00:00.000Z,0.008390872216597161,294589485.3689544,4241328.827364438
2016-06-24T00:00:00.000Z,0.008567028793814277,300774048.08033746,3199676.929586058
2016-06-25T00:00:00.000Z,0.00858545156130468,301420840.62513804,1584356.208359413
2016-06-26T00:00:00.000Z,0.008599534642924109,303959010.112446,1662630.4783364532
2016-06-27T00:00:00.000Z,0.00871415167221965,308010261.7456222,1531549.2770168132
2016-06-28T00:00:00.000Z,0.009151538151452516,323470117.0499534,4292470.462322387
2016-06-29T00:00:00.000Z,0.009071335678349385,320635281.7541788,2766824.517299749
2016-06-30T00:00:00.000Z,0.008948104726808175,316279458.5273064,1417279.9178905804
